NM_MUNICIPIO,NM_UF,LONG,LAT,ALT
ALTA FLORESTA D'OESTE,RONDÔNIA,-11.9355403048,-61.9998238963,337.735719
ARIQUEMES,RONDÔNIA,-90.9084628666,-63.033269278,138.688981
CABIXI,RONDÔNIA,-13.4997634597,-60.5443135812,236.06316
CACOAL,RONDÔNIA,-11.4338650287,-61.4429442118,177.453547
CEREJEIRAS,RONDÔNIA,-13.195033032,-60.8184261647,262.811307
COLORADO DO OESTE,RONDÔNIA,-13.1305638415,-60.5550674631,419.090613
CORUMBIARA,RONDÔNIA,-12.9975202365,-60.9487011707,269.171178
COSTA MARQUES,RONDÔNIA,-12.4360138777,-64.2316539391,145.213903
ESPIGÃO D'OESTE,RONDÔNIA,-11.5285546333,-61.0201731133,262.527225
GUAJARÁ-MIRIM,RONDÔNIA,-10.7738837407,-65.3239518197,133.414381
JARU,RONDÔNIA,-10.4359487679,-62.4762307081,162.551328
JI-PARANÁ,RONDÔNIA,-10.8820513183,-61.9450945827,157.262673
MACHADINHO D'OESTE,RONDÔNIA,-90.42556248,-61.9995925724,144.19909
NOVA BRASILÂNDIA D'OESTE,RONDÔNIA,-11.7213254139,-62.308230163,259.417475
OURO PRETO DO OESTE,RONDÔNIA,-10.7235739008,-62.2610551904,252.167649
PIMENTA BUENO,RONDÔNIA,-11.67753699,-61.1836656736,186.174033
PORTO VELHO,RONDÔNIA,-80.76889179,-63.8314456544,806.895415
PRESIDENTE MÉDICI,RONDÔNIA,-11.1732050162,-61.9094386835,178.222375
RIO CRESPO,RONDÔNIA,-90.7055367097,-62.900010366,124.322215
ROLIM DE MOURA,RONDÔNIA,-11.7222589134,-61.7857809352,226.711103
SANTA LUZIA D'OESTE,RONDÔNIA,-11.9084233325,-61.7733054631,265.234157
VILHENA,RONDÔNIA,-12.7413734718,-60.1385838661,595.093769
SÃO MIGUEL DO GUAPORÉ,RONDÔNIA,-11.6994897438,-62.7200634814,191.082628
NOVA MAMORÉ,RONDÔNIA,-10.4117712947,-65.3291490231,150.930604
ALVORADA D'OESTE,RONDÔNIA,-11.3441300234,-62.2772748657,182.40013
ALTO ALEGRE DOS PARECIS,RONDÔNIA,-12.1317772246,-61.8530771686,396.560544
ALTO PARAÍSO,RONDÔNIA,-90.7166667381,-63.3176294335,128.000112
BURITIS,RONDÔNIA,-10.2098054072,-63.8296787918,153.171166
NOVO HORIZONTE DO OESTE,RONDÔNIA,-11.70974292,-61.9943876628,229.511705
CACAULÂNDIA,RONDÔNIA,-10.3388728394,-62.9031899346,161.056558
CAMPO NOVO DE RONDÔNIA,RONDÔNIA,-10.5684164693,-63.6249914265,206.148936
CANDEIAS DO JAMARI,RONDÔNIA,-80.7850207035,-63.7000200718,804.750219
CASTANHEIRAS,RONDÔNIA,-11.4268422255,-61.9491611965,214.995394
CHUPINGUAIA,RONDÔNIA,-12.5568407611,-60.90184775,340.299631
CUJUBIM,RONDÔNIA,-90.3781933991,-62.5871745319,110.959894
GOVERNADOR JORGE TEIXEIRA,RONDÔNIA,-10.6120717726,-62.7404576395,201.781008
ITAPUÃ DO OESTE,RONDÔNIA,-90.1918716753,-63.1823370165,908.95108
MINISTRO ANDREAZZA,RONDÔNIA,-11.1962379842,-61.5189219301,266.291526
MIRANTE DA SERRA,RONDÔNIA,-11.0456092899,-62.6694270953,211.815643
MONTE NEGRO,RONDÔNIA,-10.2630977559,-63.2955591672,155.400337
NOVA UNIÃO,RONDÔNIA,-10.9155320417,-62.5550893989,241.493724
PARECIS,RONDÔNIA,-12.1798270507,-61.5979979727,296.282838
PIMENTEIRAS DO OESTE,RONDÔNIA,-13.4765620025,-61.0443790025,170.255529
PRIMAVERA DE RONDÔNIA,RONDÔNIA,-11.8257069542,-61.3165462429,244.567351
SÃO FELIPE D'OESTE,RONDÔNIA,-11.9143893547,-61.5125081133,269.726767
SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,-12.0637984122,-63.5708647108,165.693726
SERINGUEIRAS,RONDÔNIA,-11.7671166356,-63.0387609977,185.830878
TEIXEIRÓPOLIS,RONDÔNIA,-10.932169286,-62.255922254,191.34936
THEOBROMA,RONDÔNIA,-10.248730552,-62.3451455299,191.598548
URUPÁ,RONDÔNIA,-11.1285452757,-62.3706324538,197.170024
VALE DO ANARI,RONDÔNIA,-90.8513927081,-62.1768234421,157.665353
VALE DO PARAÍSO,RONDÔNIA,-10.4310526846,-62.1343903568,153.994474
ACRELÂNDIA,ACRE,-10.0737938925,-67.05231658,205.894014
ASSIS BRASIL,ACRE,-10.9428656809,-69.5634591747,234.866835
BRASILÉIA,ACRE,-11.0164110191,-68.747943426,188.324139
BUJARI,ACRE,-90.8200196267,-67.9518592792,198.174197
CAPIXABA,ACRE,-10.5697677088,-67.6735079719,212.303309
CRUZEIRO DO SUL,ACRE,-70.630690005,-72.6725313174,183.079525
EPITACIOLÂNDIA,ACRE,-11.028239828,-68.7448680667,206.036126
FEIJÓ,ACRE,-80.16024753,-70.3539836082,159.822497
JORDÃO,ACRE,-90.1933578598,-71.9508751248,264.977881
MÂNCIO LIMA,ACRE,-70.5932225939,-72.9165010261,187.065998
MANOEL URBANO,ACRE,-80.8363177369,-69.2599445775,162.133821
MARECHAL THAUMATURGO,ACRE,-80.9535911232,-72.7902659087,214.910605
PLÁCIDO DE CASTRO,ACRE,-10.3351332827,-67.1882600862,129.189484
PORTO WALTER,ACRE,-80.2666663628,-72.7423339648,201.805961
RIO BRANCO,ACRE,-90.9782987527,-67.8105287004,137.865746
RODRIGUES ALVES,ACRE,-70.7336020337,-72.6478549142,189.585426
SANTA ROSA DO PURUS,ACRE,-90.4434065374,-70.4864968938,216.72423
SENADOR GUIOMARD,ACRE,-10.1481735862,-67.74317236,207.924797
SENA MADUREIRA,ACRE,-90.065339505,-68.6556840617,132.133034
TARAUACÁ,ACRE,-80.1556685918,-70.7555010629,172.144466
XAPURI,ACRE,-10.6520719403,-68.506294805,173.281643
PORTO ACRE,ACRE,-90.6008582312,-67.5405900835,134.322793
ALVARÃES,AMAZONAS,-30.2165837691,-64.8135346776,406.116014
AMATURÁ,AMAZONAS,-30.3668051875,-68.2096146409,703.447708
ANAMÃ,AMAZONAS,-30.5763704269,-61.4059034798,201.613748
ANORI,AMAZONAS,-30.7453855861,-61.6589553829,200.346246
APUÍ,AMAZONAS,-70.1978701516,-59.8856661047,132.98111
ATALAIA DO NORTE,AMAZONAS,-40.3661574897,-70.1879892845,706.016638
ENVIRA,AMAZONAS,-70.439817544,-70.030412543,137.396301
FONTE BOA,AMAZONAS,-20.5122706845,-66.0965029898,508.147019
GUAJARÁ,AMAZONAS,-70.5477744148,-72.5824305383,182.751246
HUMAITÁ,AMAZONAS,-70.5122249506,-63.0266980219,505.017452
IPIXUNA,AMAZONAS,-70.0509801144,-71.6944180603,156.327962
IRANDUBA,AMAZONAS,-30.2810538776,-60.1933881661,403.223118
ITACOATIARA,AMAZONAS,-30.1403788039,-58.4401754368,201.659418
ITAMARATI,AMAZONAS,-60.4377993486,-68.247917436,112.652164
AUTAZES,AMAZONAS,-30.5786636418,-59.1335670918,200.491551
BARCELOS,AMAZONAS,-90.0728010525,-62.9256696581,305.36196
BARREIRINHA,AMAZONAS,-20.7981498369,-57.0677504899,101.234609
